CUSTOMER_KEY,year,month,LOB_SEAHAWKS,LOB_FGI,email_click,email_incoming_from_customer,email_open,email_outgoing_to_customer,email_send,form_submission,forward_received,forward_send,initial_creation,merch_purchase,page_view,phonecall_incoming_from_customer,primary_purchase_club,primary_purchase_single,primary_purchase_sth,secondary_purchase,secondary_sale,text_incoming_from_customer,text_outgoing_to_customer,Totals,CAMPAIGN_LOST,ID,percent_open,percent_click
-5576681996760360000,90901,312,4,0,1,0,6,0,34,0,0,2,0,0,0,0,0,0,2,0,0,0,0,45,STNL to BP,30,0.17647058823529413,0.16666666666666666
-5465176577155670000,200127,785,5,0,8,0,23,0,63,0,0,2,0,0,0,0,0,0,3,0,0,0,0,99,STNL to BP,31,0.36507936507936506,0.34782608695652173
-5438904297767410000,315150,1330,1,0,6,0,108,0,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,156,STNL to BP,32,2.6341463414634148,0.05555555555555555
-5030674902807640000,277006,1069,42,0,2,0,46,0,46,0,0,0,1,0,37,0,0,0,3,0,0,0,0,137,STNL to BP,33,1.0,0.043478260869565216
-4997203215615380000,309215,1189,12,0,0,0,19,0,122,0,0,1,0,1,0,0,0,0,3,0,5,0,0,153,STNL to BP,34,0.1557377049180328,0.0
-4940536901556010000,629029,2805,229,0,1,0,8,0,73,0,0,6,0,0,218,0,0,0,2,0,0,0,0,311,BP to STH,35,0.1095890410958904,0.125
-4888835487092640000,131384,468,1,0,6,0,20,0,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,65,STNL to BP,36,0.5263157894736842,0.3
-4874369824113940000,725825,2818,138,0,8,0,38,0,175,3,9,7,0,3,96,0,0,0,3,0,0,0,0,359,STNL to BP,37,0.21714285714285714,0.21052631578947367
-4403628639358990000,48439,178,10,0,0,0,5,0,9,0,0,4,0,0,0,0,0,0,1,0,1,0,0,24,STNL to BP,38,0.5555555555555556,0.0
-4286356081008800000,240652,936,18,0,5,0,60,0,36,1,0,0,0,0,12,0,0,0,1,0,4,0,0,119,STNL to BP,39,1.6666666666666667,0.08333333333333333
-4254066073819660000,808337,3131,84,0,12,0,156,0,148,2,1,2,0,0,66,0,0,0,3,0,9,0,0,400,STNL to BP,40,1.054054054054054,0.07692307692307693
-4247508622357650000,58535,201,3,0,0,0,2,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,BP to STH,41,0.08333333333333333,0.0
-4064154888970280000,16137,51,1,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,STNL to BP,42,1.3333333333333333,0.0
-4043551329723870000,20171,82,1,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,STNL to BP,43,2.0,0.0
-4041381519309560000,147485,543,2,0,0,0,21,0,49,1,0,0,1,0,0,0,0,0,1,0,0,0,0,73,STNL to BP,44,0.42857142857142855,0.0
-3923518654205990000,324887,1178,9,0,0,0,126,0,26,0,0,1,0,0,0,0,0,0,3,0,3,0,0,161,STNL to BP,45,4.846153846153846,0.0
-3882082170622180000,513752,1902,189,0,1,0,25,0,37,0,0,0,2,0,182,0,0,0,3,0,0,0,0,254,BP to STH,46,0.6756756756756757,0.04
-3855265102936360000,612492,2545,145,0,19,0,59,0,80,0,0,6,0,3,130,0,0,0,2,0,1,0,0,303,STNL to BP,47,0.7375,0.3220338983050847
-3617512968313550000,455027,1878,77,0,4,0,85,0,59,0,0,6,0,0,54,0,0,0,10,0,0,0,0,225,STNL to BP,48,1.4406779661016949,0.047058823529411764
-3211163107773480000,139544,460,7,0,9,1,14,0,37,0,0,1,0,0,0,0,0,0,2,0,1,1,0,69,STNL to BP,49,0.3783783783783784,0.6428571428571429
-3177697347150650000,296982,1151,21,0,3,0,41,0,82,0,0,9,0,0,0,0,0,0,9,0,3,0,0,147,STNL to BP,50,0.5,0.07317073170731707
-3085494572020240000,145524,608,5,0,1,0,19,0,47,0,0,4,0,0,0,0,0,0,1,0,0,0,0,72,STNL to BP,51,0.40425531914893614,0.05263157894736842
-2985255302965050000,541690,2172,76,0,0,0,101,1,90,0,0,1,0,0,61,0,0,0,3,0,1,0,0,268,STNL to BP,52,1.1222222222222222,0.0
-2826326339081720000,26268,65,1,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,BP to STH,53,0.5,0.0
-2810026639839440000,270991,1001,40,0,5,0,43,0,45,0,0,2,1,0,34,0,0,0,2,0,1,0,0,134,STNL to BP,54,0.9555555555555556,0.11627906976744186
-2727327077622850000,258972,1003,101,0,0,0,1,0,26,0,2,1,0,0,94,0,0,0,1,0,1,0,0,128,BP to STH,55,0.038461538461538464,0.0
-2551074705679590000,786905,2748,173,0,9,0,155,0,52,1,1,1,0,0,154,0,0,0,2,0,2,0,0,389,STNL to BP,56,2.980769230769231,0.05806451612903226
-2474326314480530000,82955,312,8,0,4,0,3,0,26,0,0,1,0,0,5,0,0,0,1,0,0,0,0,41,STNL to BP,57,0.11538461538461539,1.3333333333333333
-2291493129650890000,315333,1264,73,0,1,0,28,0,54,0,0,1,0,0,68,0,0,0,2,0,0,0,0,156,STNL to BP,58,0.5185185185185185,0.03571428571428571
-2282368375795160000,442871,1660,44,0,6,2,129,0,37,0,0,1,1,0,35,0,0,0,1,0,1,0,0,219,STNL to BP,59,3.4864864864864864,0.046511627906976744
-1951295317821700000,194137,780,61,0,0,0,1,0,34,2,0,2,0,0,55,0,0,0,1,0,0,0,0,96,STNL to BP,60,0.029411764705882353,0.0
-1618159338198320000,254600,961,47,0,1,0,22,0,56,0,1,4,0,0,20,0,0,0,2,0,10,0,0,126,STNL to BP,61,0.39285714285714285,0.045454545454545456
-1575955175663800000,44381,174,1,0,0,0,7,0,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,22,STNL to BP,62,0.5,0.0
-1531847696147910000,297044,1242,5,0,5,0,55,0,81,0,0,2,1,0,0,0,0,0,2,0,0,0,0,147,STNL to BP,63,0.6790123456790124,0.09090909090909091
-1497196556130980000,517638,1982,34,0,17,0,102,0,102,1,0,3,0,0,25,0,0,1,3,0,0,0,0,256,BP to STH,64,1.0,0.16666666666666666
-1428966403003590000,186071,693,34,0,3,0,41,1,13,0,0,1,0,0,21,0,0,0,2,1,5,0,0,92,BP to STH,65,3.1538461538461537,0.07317073170731707
-1416247517959650000,270986,1076,48,0,4,0,27,0,54,0,0,2,1,0,43,0,0,0,1,0,0,0,0,134,STNL to BP,66,0.5,0.14814814814814814
-1333339848689470000,133326,531,7,0,0,0,13,0,46,0,0,1,0,0,0,0,0,0,2,0,0,0,0,66,STNL to BP,67,0.2826086956521739,0.0
-1321964538845750000,189830,746,2,0,2,0,25,0,65,0,0,0,0,0,0,0,0,0,2,0,0,0,0,94,STNL to BP,68,0.38461538461538464,0.08
-1144522599890590000,66671,253,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,STNL to BP,69,0.0,
-746345597428304000,412584,1538,104,1,2,0,30,0,67,0,0,1,0,0,98,0,1,0,4,0,0,0,0,204,STNL to BP,70,0.44776119402985076,0.06666666666666667
-617465245550037000,320755,1222,1,0,0,0,126,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,159,BP to STH,71,3.9375,0.0
-559906069191513000,228524,802,71,0,4,0,7,0,30,0,0,0,1,0,68,0,0,0,1,0,0,0,0,113,BP to STH,72,0.23333333333333334,0.5714285714285714
-280904408775428000,272714,1117,8,0,0,0,51,0,76,0,0,3,0,0,0,0,0,0,2,0,1,0,0,135,STNL to BP,73,0.6710526315789473,0.0
-255907151874046000,487009,1814,55,0,3,0,92,1,90,0,0,2,0,0,49,0,0,0,2,0,0,0,0,241,STNL to BP,74,1.0222222222222221,0.03260869565217391
-211759868792619000,473025,1736,64,0,11,0,56,0,103,0,0,4,0,0,57,0,0,0,2,0,0,0,0,234,STNL to BP,75,0.5436893203883495,0.19642857142857142
-178040560375735000,84890,361,2,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,1,0,1,0,0,42,BP to STH,76,0.0,
-6852295649982010,149499,601,6,0,0,0,25,0,43,0,0,1,0,0,0,0,0,0,2,0,0,0,0,74,STNL to BP,77,0.5813953488372093,0.0
46429053297641904,115270,445,21,0,1,1,0,0,34,0,0,0,0,0,18,0,0,0,1,0,1,0,0,57,BP to STH,78,0.0,inf
193578500584297030,145601,578,27,0,2,0,5,0,38,0,0,3,0,0,18,0,1,0,2,0,0,0,0,72,STNL to BP,79,0.13157894736842105,0.4
235553737516095201,111112,462,1,0,2,0,10,0,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55,STNL to BP,80,0.23809523809523808,0.2
346057203392526740,218407,862,67,0,2,0,2,0,37,0,0,0,0,0,62,0,0,0,1,1,1,0,0,108,BP to STH,81,0.05405405405405406,1.0
542334528791688444,262903,961,38,0,3,0,53,0,36,0,0,1,0,0,34,0,0,0,1,0,1,0,0,130,STNL to BP,82,1.4722222222222223,0.05660377358490566
578417161791703271,145678,543,16,0,5,0,5,0,46,0,1,5,0,0,7,0,0,0,1,0,1,0,0,72,STNL to BP,83,0.10869565217391304,1.0
625820055196921066,505643,2141,179,0,3,0,15,0,52,0,0,0,1,0,170,0,0,0,2,0,2,0,0,250,STNL to BP,84,0.28846153846153844,0.2
628776946787236106,369777,1403,49,0,2,0,73,2,57,0,0,0,0,0,46,0,0,0,2,0,0,0,0,183,BP to STH,85,1.280701754385965,0.0273972602739726
677338413095527761,300647,1152,21,0,0,0,51,0,77,0,3,11,0,0,0,0,0,0,2,0,4,0,0,149,STNL to BP,86,0.6623376623376623,0.0
678324460595472309,188169,650,36,0,1,0,13,0,43,0,0,1,0,0,32,0,0,0,1,0,0,0,0,93,STNL to BP,87,0.3023255813953488,0.07692307692307693
771052760471074984,18188,66,8,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,9,BP to STH,88,,
922978097249955951,416330,1687,18,0,15,0,110,0,63,0,0,1,0,0,11,0,0,0,2,0,2,0,0,206,STNL to BP,89,1.746031746031746,0.13636363636363635
1150879983939229082,78714,276,4,0,0,0,3,0,32,0,0,0,0,0,0,0,0,0,1,0,1,0,0,39,STNL to BP,90,0.09375,0.0
1234276751550834786,92932,361,2,0,2,0,10,0,32,0,0,0,0,1,0,0,0,0,1,0,0,0,0,46,STNL to BP,91,0.3125,0.2
1447485705494921310,541762,2042,83,0,6,2,45,1,131,0,0,2,0,0,69,0,0,0,3,0,2,0,0,268,STNL to BP,92,0.3435114503816794,0.13333333333333333
1593681140592989207,10116,34,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,5,STNL to BP,93,,
1939022835825330697,438600,1747,45,0,19,0,89,0,63,1,1,23,1,1,0,0,0,0,3,0,4,0,0,217,BP to STH,94,1.4126984126984128,0.21348314606741572
1972007633707841336,452692,1633,65,0,3,0,82,0,74,0,0,0,0,0,55,0,0,0,4,0,6,0,0,224,STNL to BP,95,1.1081081081081081,0.036585365853658534
2261765851717197188,159760,630,2,0,1,0,30,0,46,0,0,1,0,0,0,0,0,0,1,0,0,0,0,79,STNL to BP,96,0.6521739130434783,0.03333333333333333
2333101661192158738,64604,272,8,0,0,0,1,0,23,0,0,0,0,0,0,0,0,0,2,0,3,0,0,32,STNL to BP,97,0.043478260869565216,0.0
2404970778382729594,72867,301,1,0,2,0,8,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36,BP to STH,98,0.32,0.25
2430652856940440753,196016,780,12,0,5,0,10,0,70,0,0,4,0,0,0,0,0,0,2,0,0,0,0,97,BP to STH,99,0.14285714285714285,0.5
2513991737160357735,127480,428,20,0,4,0,11,0,27,0,0,0,0,0,19,0,0,0,1,0,0,1,0,63,STNL to BP,100,0.4074074074074074,0.36363636363636365
2517967177670941566,232389,795,34,0,0,0,12,0,69,0,0,0,0,0,26,0,0,0,2,0,0,0,0,115,BP to STH,101,0.17391304347826086,0.0
2518091418816306115,127093,523,1,0,0,0,33,0,29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,63,STNL to BP,102,1.1379310344827587,0.0
2524057064967838273,234118,920,5,0,0,0,80,0,31,0,0,0,0,0,0,0,0,0,1,0,4,0,0,116,STNL to BP,103,2.5806451612903225,0.0
2708330760142006990,52595,117,5,0,2,2,10,1,6,0,0,0,0,0,0,0,0,0,1,0,2,0,0,26,BP to STH,104,1.6666666666666667,0.2
2854464749835862147,234585,809,18,0,3,0,23,0,72,0,0,3,0,1,8,0,0,0,2,0,4,0,0,116,STNL to BP,105,0.3194444444444444,0.13043478260869565
3079049637591801351,208185,819,4,0,1,0,59,0,39,0,0,2,0,0,0,0,0,0,1,0,0,0,0,103,STNL to BP,106,1.5128205128205128,0.01694915254237288
3369988680068787443,46552,216,7,0,1,0,4,0,11,0,3,1,0,0,0,0,0,0,1,0,0,0,0,23,BP to STH,107,0.36363636363636365,0.25
3446703513997072692,298923,1058,16,0,3,0,17,0,112,1,0,0,0,0,7,0,0,0,3,0,2,0,0,148,STNL to BP,108,0.15178571428571427,0.17647058823529413
3655562566305085491,525779,2030,90,0,6,1,91,0,72,0,0,0,0,1,84,0,0,0,1,0,0,0,0,260,STNL to BP,109,1.2638888888888888,0.06593406593406594
3787727130846742563,127400,456,28,0,4,0,0,0,31,0,0,1,0,0,24,0,0,0,1,0,1,0,0,63,STNL to BP,110,0.0,inf
3984603102462921359,244697,925,23,0,13,3,13,1,68,0,1,3,0,0,17,0,0,0,1,0,0,0,0,121,STNL to BP,111,0.19117647058823528,1.0
4343697143223945032,149569,624,3,0,5,0,10,0,56,0,0,2,0,0,0,0,0,0,1,0,0,0,0,74,STNL to BP,112,0.17857142857142858,0.5
4766756853486505833,90786,319,1,0,0,0,27,0,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45,BP to STH,113,1.588235294117647,0.0
4799381627530118827,32291,136,4,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,1,0,0,0,0,16,STNL to BP,114,0.0,
4984587411005595232,246588,956,1,0,5,0,74,0,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,122,STNL to BP,115,1.7619047619047619,0.06756756756756757
5042780339743051650,105214,395,27,0,0,0,1,0,24,0,0,0,0,0,26,0,0,0,1,0,0,0,0,52,STNL to BP,116,0.041666666666666664,0.0
5045155198921942124,167680,670,1,0,2,0,47,0,33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,83,STNL to BP,117,1.4242424242424243,0.0425531914893617
5113724092572553074,58527,257,5,0,0,0,15,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,29,STNL to BP,118,1.6666666666666667,0.0
5158091684828912007,98991,429,1,0,2,0,11,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,49,BP to STH,119,0.3142857142857143,0.18181818181818182
5531697883654652476,279076,1073,24,0,3,0,34,0,77,1,0,2,0,0,19,0,0,0,1,0,0,0,0,138,STNL to BP,120,0.44155844155844154,0.08823529411764706
5537068317766498372,302786,1218,10,0,2,0,67,0,71,0,0,0,0,0,0,0,0,0,3,0,1,0,0,150,STNL to BP,121,0.9436619718309859,0.029850746268656716
5771227246074698671,74868,234,2,0,1,0,6,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,STNL to BP,122,0.21428571428571427,0.16666666666666666
5824660637978870422,58678,191,2,0,1,1,3,2,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,BP to STH,123,0.15,0.3333333333333333
6019253034883342048,44423,181,6,0,0,0,1,0,14,1,0,0,0,0,0,0,0,0,2,0,0,0,0,22,STNL to BP,124,0.07142857142857142,0.0
6035482707323323387,111165,464,12,0,1,0,13,0,29,0,0,1,0,0,0,0,3,0,3,0,4,0,0,55,STNL to BP,125,0.4482758620689655,0.07692307692307693
6153090004140980367,189860,721,13,0,0,0,17,0,64,0,0,0,0,0,7,0,0,0,2,0,1,0,0,94,STNL to BP,126,0.265625,0.0
6266701458823963631,135497,495,15,0,2,0,12,0,38,0,0,0,0,0,12,0,0,0,1,0,0,0,0,67,STNL to BP,127,0.3157894736842105,0.16666666666666666
6293399697177916560,76775,268,1,0,0,0,9,0,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38,STNL to BP,128,0.32142857142857145,0.0
6317676185165226208,380059,1392,31,0,3,0,48,0,106,0,0,6,0,0,23,0,0,0,2,0,0,0,0,188,BP to STH,129,0.4528301886792453,0.0625
6348125179063301482,119314,465,4,0,2,0,5,0,48,0,0,0,0,0,0,0,0,0,1,1,1,0,0,59,STNL to BP,130,0.10416666666666667,0.4
6579223138005235987,102910,399,6,0,0,0,24,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,0,51,STNL to BP,131,1.1428571428571428,0.0
6682784193447934012,289129,1088,61,0,0,0,8,1,73,0,0,3,0,1,52,0,0,0,2,0,0,0,0,143,STNL to BP,132,0.1095890410958904,0.0
6902197315984304436,444577,1645,5,0,5,0,100,0,109,0,0,2,1,0,0,0,0,0,2,0,0,0,0,220,STNL to BP,133,0.9174311926605505,0.05
6976424484832773860,307413,1200,60,0,3,0,15,1,72,0,0,4,1,0,48,0,0,0,2,0,0,0,0,152,STNL to BP,134,0.20833333333333334,0.2
7071888107113315093,220439,753,37,0,3,0,19,0,50,0,0,0,0,0,35,0,0,0,1,0,0,0,0,109,STNL to BP,135,0.38,0.15789473684210525
7232269491368354331,733296,2835,20,0,10,0,149,0,184,1,1,4,0,0,0,0,0,0,3,1,1,0,0,363,STNL to BP,136,0.8097826086956522,0.06711409395973154
7260650058819970547,244680,1014,71,0,10,0,10,0,30,0,0,0,0,0,69,0,0,0,1,0,0,0,0,121,STNL to BP,137,0.3333333333333333,1.0
7290284010674035149,58680,170,4,0,0,0,4,0,21,0,0,0,0,0,3,0,0,0,1,0,0,0,0,29,BP to STH,138,0.19047619047619047,0.0
7420510104882457312,159601,668,1,0,6,0,37,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,79,STNL to BP,139,1.0571428571428572,0.16216216216216217
7425685381362682513,317770,1383,98,0,4,1,25,0,28,0,0,0,1,0,92,0,0,0,1,0,2,0,0,157,BP to STH,140,0.8928571428571429,0.16
7475458739491599646,388389,1280,37,0,18,2,72,0,63,0,0,3,0,0,26,0,0,0,2,0,0,0,0,192,BP to STH,141,1.1428571428571428,0.25
7546872738331489898,18163,86,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,STNL to BP,142,,
7717143502210335496,853775,3356,336,0,10,11,12,5,48,2,0,0,0,3,325,0,0,1,1,0,0,0,0,422,STNL to BP,143,0.25,0.8333333333333334
7845570639085461959,224471,814,36,0,0,1,5,0,69,0,0,0,0,0,32,0,0,0,1,0,0,0,0,111,BP to STH,144,0.07246376811594203,0.0
8001046121562066194,90909,376,1,0,0,0,3,0,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45,STNL to BP,145,0.07317073170731707,0.0
8122720086455361158,52475,220,2,0,0,0,4,0,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,26,STNL to BP,146,0.2,0.0
8136649743309128814,467361,1487,176,0,2,0,7,0,46,0,0,3,0,0,165,0,0,0,3,0,4,0,0,231,STNL to BP,147,0.15217391304347827,0.2857142857142857
8175563627907988926,630501,2438,70,0,19,0,112,0,111,1,0,5,0,0,60,0,0,0,3,0,1,0,0,312,STNL to BP,148,1.009009009009009,0.16964285714285715
8218457334943823746,511121,1897,33,0,5,0,92,0,123,0,0,0,0,0,28,0,0,0,3,0,2,0,0,253,STNL to BP,149,0.7479674796747967,0.05434782608695652
8267706113028823328,280482,1076,8,0,0,0,66,0,65,0,0,1,0,0,0,0,0,0,2,0,0,0,0,139,STNL to BP,150,1.0153846153846153,0.0
8484907688085770444,64565,265,2,0,0,0,19,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,32,STNL to BP,151,1.7272727272727273,0.0
8621837487991327738,260711,969,37,0,7,0,20,0,65,0,0,1,0,0,28,0,0,0,6,0,0,0,0,129,STNL to BP,152,0.3076923076923077,0.35
8659122036050231829,26223,96,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,STNL to BP,153,0.0,
8687547003197513216,117062,454,7,0,0,0,8,0,43,0,0,3,0,0,0,0,0,0,1,0,1,0,0,58,STNL to BP,154,0.18604651162790697,0.0
8888486540612687268,203939,815,2,0,0,0,36,0,63,0,0,0,0,0,0,0,0,0,2,0,0,0,0,101,STNL to BP,155,0.5714285714285714,0.0
8907645328465305799,173944,743,86,0,0,0,0,0,0,0,0,7,0,0,69,0,0,0,6,0,3,0,0,86,STNL to BP,156,,
8923001518233951486,758036,3103,146,0,14,0,127,0,88,1,0,0,0,0,139,0,0,0,2,0,0,0,0,375,STNL to BP,157,1.4431818181818181,0.11023622047244094
9045886112770290762,2018,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,BP to STH,158,,
9195348848691755995,183863,715,5,0,4,0,23,0,59,0,0,0,0,0,0,0,0,0,2,0,0,0,0,91,STNL to BP,159,0.3898305084745763,0.17391304347826086
